ID,Under_Grad_School,Under_Grad_Major,US_Ranking,211,985,Gender,State,City
188,NA,NA,NA,NA,NA,2,NewYork,NewYork
189,UCLA,Stats,11,NA,NA,2,Zhejiang,__
190,XMU,Math,NA,TRUE,TRUE,1,NewYork,NewYork
191,NA,NA,NA,NA,NA,1,Jiangsu,Wuxi
192,NA,NA,NA,NA,NA,1,Guangdong,Shenzhen
193,NA,NA,NA,NA,NA,2,NA,NA
194,NA,NA,NA,NA,NA,2,NA,NA
195,NA,NA,NA,NA,NA,2,NA,NA
196,NA,NA,NA,NA,NA,1,Beijing,Haidian
197,NA,NA,NA,NA,NA,2,Shanghai,Huangpu
198,NA,Stats,NA,NA,NA,1,Washington,Seattle
199,NA,NA,NA,NA,NA,1,NewYork,NewYork
200,NA,NA,NA,NA,NA,1,Guangdong,Guangzhou
201,UIUC,NA,46,NA,NA,1,DistrictofColumbia,
202,UIUC,Stats,46,NA,NA,2,Jiangsu,Wuxi
203,UW,NA,59,NA,NA,2,Shanghai,Yangpu
204,GWU,Math,63,NA,NA,1,Hunan,Changsha
205,NA,NA,NA,NA,NA,0,NA,NA
206,NA,NA,NA,NA,NA,2,NA,NA
207,NA,NA,NA,NA,NA,1,Sichuan,Chengdu
208,NA,NA,NA,NA,NA,1,NewYork,NewYork
209,NA,NA,NA,NA,NA,1,Beijing,Xicheng
210,NA,NA,NA,NA,NA,2,Beijing,Haidian
211,NA,NA,NA,NA,NA,1,Beijing,Haidian
212,NA,NA,NA,NA,NA,1,Beijing,Chaoyang
213,NA,NA,NA,NA,NA,0,NA,NA
214,OSU,Math,56,NA,NA,2,Shanghai,Pudong
215,NA,NA,NA,NA,NA,0,NA,NA
216,NA,NA,NA,NA,NA,2,NA,NA
217,NA,NA,NA,NA,NA,1,Jiangsu,Nanjing
218,NA,NA,NA,NA,NA,2,NewYork,NewYork
219,NA,NA,NA,NA,NA,2,Jiangsu,Nanjing
220,FDU,Math,NA,TRUE,TRUE,0,NA,NA
221,NA,NA,NA,NA,NA,2,Dane,Madison
222,NA,NA,NA,NA,NA,2,Beijing,Chaoyang
223,NA,NA,NA,NA,NA,0,Hubei,
224,NA,NA,NA,NA,NA,1,Guangdong,Shenzhen
225,NA,NA,NA,NA,NA,2,Shandong,Weihai
226,NA,NA,NA,NA,NA,1,Beijing,Haidian
227,UWM,Econ,49,NA,NA,2,Jiangsu,Nanjing
228,Brandis,Math,35,NA,NA,1,Guangdong,Shenzhen
229,NA,NA,NA,NA,NA,0,Massachusetts,Boston
230,NA,NA,NA,NA,NA,2,NewYork,NewYork
231,NA,NA,NA,NA,NA,2,NA,NA
232,UofGlasgow,NA,NA,NA,NA,2,Jiangsu,Wuxi
233,NA,NA,NA,NA,NA,1,Liaoning,Shenyang
234,NA,NA,NA,NA,NA,2,Shanghai,Yangpu
235,NA,NA,NA,NA,NA,2,NA,NA
236,UCI,Math,33,NA,NA,1,Beijing,Haidian
237,NA,Math,NA,NA,NA,1,Jiangsu,Nanjing
238,CUHK,NA,NA,NA,NA,1,Beijing,Haidian
239,NA,NA,NA,NA,NA,1,California,SanDiego
240,NA,NA,NA,NA,NA,2,NewYork,Rochester
241,NA,NA,NA,NA,NA,2,Beijing,Haidian
242,NA,NA,NA,NA,NA,1,NA,NA
243,NA,NA,NA,NA,NA,1,Beijing,NA
244,NA,NA,NA,NA,NA,2,NA,NA
245,UCSD,NA,41,NA,NA,1,Beijing,Chaoyang
246,ANU,Acurary,NA,NA,NA,1,Beijing,Tongzhou
247,UCDenver,Econ,205,NA,NA,2,Guangdong,Shenzhen
248,NA,NA,NA,NA,NA,2,NA,NA
249,NA,NA,NA,NA,NA,1,Shanghai,Jingan
250,NA,NA,NA,NA,NA,2,Guangdong,Guangzhou
251,NA,NA,NA,NA,NA,2,Beijing,Chaoyang
252,RMU,Stats,NA,TRUE,TRUE,2,Guangdong,Foshan
253,GWU,NA,63,NA,NA,1,Shanghai,Pudong
254,NA,NA,NA,NA,NA,1,NA,NA
255,NA,NA,NA,NA,NA,1,NA,NA
256,PKU,Econ,NA,TRUE,TRUE,2,Wisconsin,Madison
257,NA,NA,NA,NA,NA,1,Shanghai,NA
258,TsinghuaU,Math,NA,TRUE,TRUE,2,Tianjing,Heping
259,NA,NA,NA,NA,NA,1,NewYork,NewYork
260,NA,NA,NA,NA,NA,2,Shanghai,Pudong
261,UWM,NA,49,NA,NA,2,Hunan,Hengyang
262,NA,NA,NA,NA,NA,0,Guangdong,Guangzhou
263,NA,NA,NA,NA,NA,2,Massachusetts,Boston
264,NA,NA,NA,NA,NA,2,NA,NA
265,NA,NA,NA,NA,NA,1,Zhejiang,Jinhua
266,NA,NA,NA,NA,NA,0,Beijing,NA
267,UCLA,NA,11,NA,NA,2,NewYork,NewYork
268,NA,NA,NA,NA,NA,2,Guangdong,Shenzhen
269,NA,NA,NA,NA,NA,2,Beijing,Chaoyang
270,NA,NA,NA,NA,NA,2,California,SanFrancisco
271,UCSB,NA,30,NA,NA,2,Shandong,NA
272,PSU,Math,35,NA,NA,2,NA,NA
273,NA,NA,NA,NA,NA,1,Jiangsu,Wuxi
274,UCSD,Stats,41,NA,NA,1,Sichuan,Chengdu
275,NA,NA,NA,NA,NA,1,Guangdong,Guangzhou
276,NA,NA,NA,NA,NA,2,NA,NA
277,NA,NA,NA,NA,NA,2,NA,NA
278,NA,NA,NA,NA,NA,0,Zhejiang,Hangzhou
279,Baruch,Math,20,NA,NA,2,NewYork,NewYork
280,NA,NA,NA,NA,NA,2,Beijing,Haidian
281,NA,NA,NA,NA,NA,2,Beijing,NA
282,NA,NA,NA,NA,NA,1,NA,NA
283,NA,NA,NA,NA,NA,2,Jiangsu,Nanjing
284,Whitman,Math,43,NA,NA,2,Middlesex,PiscatawayTownship
285,NA,NA,NA,NA,NA,2,Beijing,Chaoyang
286,NA,NA,NA,NA,NA,2,Sichuan,Chengdu
287,NA,NA,NA,NA,NA,2,Shandong,Qingdao
288,NA,NA,NA,NA,NA,2,NewYork,NewYork
289,NA,NA,NA,NA,NA,2,Jiangsu,Wuxi
290,NA,NA,NA,NA,NA,2,NewYork,NewYork
291,NA,NA,NA,NA,NA,2,California,Others
292,NA,NA,NA,NA,NA,2,Heilongjiang,Haerbin
293,NA,NA,NA,NA,NA,2,NA,NA
294,NA,NA,NA,NA,NA,2,Shanghai,Yangpu
295,NA,NA,NA,NA,NA,0,NA,NA
296,UCI,Math,33,NA,NA,2,Shanghai,Huangpu
297,NA,NA,NA,NA,NA,2,NA,NA
298,NA,NA,NA,NA,NA,2,NA,NA
299,NA,NA,NA,NA,NA,2,Fujian,Quanzhou
300,NA,NA,NA,NA,NA,2,NA,NA
301,NA,NA,NA,NA,NA,1,NA,NA
302,NA,NA,NA,NA,NA,1,Zhejiang,Shaoxing
303,UCLA,Stats,11,NA,NA,1,Beijing,Xicheng
304,NA,NA,NA,NA,NA,2,NA,NA
305,UO,Math,102,NA,NA,1,Toronto,NA
306,NA,NA,NA,NA,NA,2,NewYork,NewYork
307,NA,NA,NA,NA,NA,1,Zhejiang,Ningbo
308,NA,NA,NA,NA,NA,0,NA,NA
309,NA,NA,NA,NA,NA,1,Heilongjiang,Mudanjiang
310,NA,NA,NA,NA,NA,0,NA,NA
311,NA,NA,NA,NA,NA,0,NA,NA
312,NA,NA,NA,NA,NA,0,NA,NA
313,NA,NA,NA,NA,NA,0,NA,NA
314,NA,NA,NA,NA,NA,0,NA,NA
315,NA,NA,NA,NA,NA,0,NA,NA
