ID,Under_Grad_School,Under_Grad_Major,US_Ranking,211,985,Country/Region
167,,,,,,
168,XJLTU,AM,,FALSE,FALSE,China
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,,
174,RPI,Math,49,,,U.S.A
175,,,,,,
176,,,,,,
177,,,,,,
178,UN,Math,,,,U.S.A
179,,,,,,
180,SWUFE,Finance,,TRUE,FALSE,China
181,,,,,,
182,,,,,,
183,,,,,,
184,UIUC,Math,46,,,U.S.A
185,,,,,,
186,,,,,,
187,UCDenver,Econ,205,,,U.S.A
188,,,,,,
189,UCLA,Stats,11,,,U.S.A
190,XMU,Math,,TRUE,TRUE,China
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,Stats,,,,
199,,,,,,
200,,,,,,
201,UIUC,,46,,,U.S.A
202,UIUC,Stats,46,,,U.S.A
203,UW,,59,,,U.S.A
204,GWU,Math,63,,,U.S.A
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,OSU,Math,56,,,U.S.A
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,FDU,Math,,TRUE,TRUE,China
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,UWM,Econ,49,,,U.S.A
228,Brandis,Math,35,,,U.S.A
229,,,,,,
230,,,,,,
231,,,,,,
232,UofGlasgow,,,,,United Kingdom
233,,,,,,
234,,,,,,
235,,,,,,
236,UCI,Math,33,,,U.S.A
237,,Math,,,,
238,CUHK,,,,,HK
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,UCSD,,41,,,U.S.A
246,ANU,Acurary,,,,Australia
247,UCDenver,Econ,205,,,U.S.A
248,,,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,RMU,Stats,,TRUE,TRUE,China
253,GWU,,63,,,U.S.A
254,,,,,,
255,,,,,,
256,PKU,Econ,,TRUE,TRUE,China
257,,,,,,
258,TsinghuaU,Math,,TRUE,TRUE,China
259,,,,,,
260,,,,,,
261,UWM,,49,,,U.S.A
262,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
266,,,,,,
267,UCLA,,11,,,U.S.A
268,,,,,,
269,,,,,,
270,,,,,,
271,UCSB,,30,,,U.S.A
272,PSU,Math,35,,,U.S.A
273,,,,,,
274,UCSD,Stats,41,,,U.S.A
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,Baruch,Math,20,,,U.S.A
280,,,,,,
281,,,,,,
282,,,,,,
283,,,,,,
284,Whitman,Math,43,,,U.S.A
285,,,,,,
286,,,,,,
287,,,,,,
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,UCI,Math,33,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,,,,,,
301,,,,,,
302,,,,,,
303,UCLA,Stats,11,,,
304,,,,,,
305,UO,Math,102,,,
306,,,,,,
307,,,,,,
308,,,,,,
309,,,,,,
310,,,,,,
311,,,,,,
312,,,,,,
313,,,,,,
314,,,,,,
315,,,,,,
